"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2024","40.0000","40.1500","40.2503","40.0225","","-0.12%"
"06/05/2024","40.0500","40.2500","40.3631","40.0550","","-0.50%"
"06/04/2024","40.2500","40.5000","40.5827","40.2295","","-0.12%"
"06/03/2024","40.3000","40.6500","40.6906","40.2955","","-0.49%"
"05/31/2024","40.5000","40.6000","40.7691","40.2500","","0.00%"
"05/30/2024","40.5000","40.3500","40.7354","40.2375","","0.12%"
"05/29/2024","40.4500","40.3500","40.5262","40.2000","","0.25%"
"05/28/2024","40.3500","40.3000","40.4583","40.1666","","0.87%"
"05/27/2024","40.0000","40.1500","40.3629","40.0750","","-0.25%"
"05/24/2024","40.1000","39.8450","40.2310","39.7950","","1.01%"
"05/23/2024","39.7000","39.8500","40.0263","39.7310","","-0.33%"
"05/22/2024","39.8310","39.7500","39.9227","39.6250","","0.20%"
"05/21/2024","39.7500","39.7000","39.8464","39.5499","","0.63%"
"05/20/2024","39.5000","39.4500","39.7505","39.3900","","0.13%"
"05/17/2024","39.4500","39.3750","39.5629","39.3050","","0.29%"
"05/16/2024","39.3360","39.5250","39.6628","39.3270","","-0.34%"
"05/15/2024","39.4700","39.6500","39.7411","39.4500","","-0.08%"
"05/14/2024","39.5000","39.6700","39.8076","39.5250","","-0.30%"
"05/13/2024","39.6200","39.6500","39.7710","39.4750","","0.30%"
"05/10/2024","39.5000","39.6500","39.8904","39.5230","","-0.30%"
"05/09/2024","39.6205","39.5000","39.7379","39.3150","","0.61%"
"05/08/2024","39.3804","39.2500","39.4628","39.2175","","0.31%"
"05/07/2024","39.2604","39.3750","39.4807","39.1925","","-0.05%"
"05/06/2024","39.2800","39.3800","39.6007","39.2070","","-0.05%"
"05/03/2024","39.3000","39.5500","39.6051","39.3075","","-0.33%"
"05/02/2024","39.4310","39.6500","39.7004","39.4280","","-0.30%"
"05/01/2024","39.5510","39.6510","39.7503","39.4668","","-0.15%"
"04/30/2024","39.6110","39.6500","39.7266","39.4087","","0.28%"
"04/29/2024","39.5000","39.6500","39.7603","39.5250","","0.00%"
"04/26/2024","39.5000","39.5500","39.7408","39.5022","","-0.07%"
